v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   264.000000                       0.008726          0.001887
   265.000000                       0.008142          0.001761
   266.000000                       0.007656          0.001656
   267.000000                       0.007241          0.001566
   268.000000                       0.006880          0.001488
   269.000000                       0.006562          0.001419
   270.000000                       0.006277          0.001358
   271.000000                       0.006022          0.001302
   272.000000                       0.005790          0.001252
   273.000000                       0.005578          0.001207
   274.000000                       0.005385          0.001165
   275.000000                       0.005206          0.001126
   276.000000                       0.005042          0.001091
   277.000000                       0.004890          0.001058
   278.000000                       0.004749          0.001027
   279.000000                       0.004618          0.000999
   280.000000                       0.004496          0.000972
   281.000000                       0.004383          0.000948
   282.000000                       0.004277          0.000925
   283.000000                       0.004178          0.000904
   284.000000                       0.004086          0.000884
   285.000000                       0.004000          0.000865
   286.000000                       0.003920          0.000848
   287.000000                       0.003845          0.000832
   288.000000                       0.003775          0.000816
   289.000000                       0.003709          0.000802
   290.000000                       0.003649          0.000789
   291.000000                       0.003592          0.000777
   292.000000                       0.003540          0.000766
   293.000000                       0.003491          0.000755
   294.000000                       0.003447          0.000745
   295.000000                       0.003405          0.000737
   296.000000                       0.003368          0.000728
   297.000000                       0.003334          0.000721
   298.000000                       0.003303          0.000714
   299.000000                       0.003275          0.000708
   300.000000                       0.003251          0.000703
   301.000000                       0.003229          0.000698
   302.000000                       0.003211          0.000695
   303.000000                       0.003197          0.000691
   304.000000                       0.003185          0.000689
   305.000000                       0.003178          0.000687
   306.000000                       0.003173          0.000686
   307.000000                       0.003172          0.000686
   308.000000                       0.003175          0.000687
   309.000000                       0.003183          0.000688
   310.000000                       0.003194          0.000691
   311.000000                       0.003211          0.000694
   312.000000                       0.003233          0.000699
   313.000000                       0.003260          0.000705
   314.000000                       0.003294          0.000713
   315.000000                       0.003336          0.000722
   316.000000                       0.003387          0.000733
   317.000000                       0.003447          0.000746
   318.000000                       0.003520          0.000761
   319.000000                       0.003607          0.000780
   320.000000                       0.003711          0.000803
   321.000000                       0.003837          0.000830
   322.000000                       0.003991          0.000863
   323.000000                       0.004178          0.000904
   324.000000                       0.004411          0.000954
   325.000000                       0.004705          0.001018
   326.000000                       0.005080          0.001099
   327.000000                       0.005572          0.001205
   328.000000                       0.006233          0.001348
   329.000000                       0.007150          0.001546
   330.000000                       0.008475          0.001833
   331.000000                       0.010491          0.002269
   332.000000                       0.013778          0.002980
   333.000000                       0.019663          0.004253
   334.000000                       0.031730          0.006863
   335.000000                       0.062142          0.013441
   336.000000                       0.165184          0.035728
   337.000000                       0.401806          0.086907
   338.000000                       0.172140          0.037232
   339.000000                       0.064062          0.013856
   340.000000                       0.032521          0.007034
   341.000000                       0.020151          0.004359
   342.000000                       0.014181          0.003067
   343.000000                       0.010883          0.002354
   344.000000                       0.008886          0.001922
   345.000000                       0.007596          0.001643
   346.000000                       0.006723          0.001454
   347.000000                       0.006111          0.001322
   348.000000                       0.005672          0.001227
   349.000000                       0.005354          0.001158
   350.000000                       0.005121          0.001108
   351.000000                       0.004952          0.001071
   352.000000                       0.004832          0.001045
   353.000000                       0.004752          0.001028
   354.000000                       0.004704          0.001017
   355.000000                       0.004684          0.001013
   356.000000                       0.004689          0.001014
   357.000000                       0.004717          0.001020
   358.000000                       0.004769          0.001032
   359.000000                       0.004846          0.001048
   360.000000                       0.004949          0.001070
   361.000000                       0.005084          0.001100
   362.000000                       0.005257          0.001137
   363.000000                       0.005480          0.001185
   364.000000                       0.005769          0.001248
   365.000000                       0.006150          0.001330
   366.000000                       0.006668          0.001442
   367.000000                       0.007399          0.001600
   368.000000                       0.008485          0.001835
   369.000000                       0.010208          0.002208
   370.000000                       0.013209          0.002857
   371.000000                       0.019174          0.004147
   372.000000                       0.033659          0.007280
   373.000000                       0.081638          0.017658
   374.000000                       0.241981          0.052338
   375.000000                       0.127395          0.027554
   376.000000                       0.045282          0.009794
   377.000000                       0.023580          0.005100
   378.000000                       0.015634          0.003381
   379.000000                       0.011985          0.002592
   380.000000                       0.010060          0.002176
   381.000000                       0.008956          0.001937
   382.000000                       0.008292          0.001793
   383.000000                       0.007884          0.001705
   384.000000                       0.007639          0.001652
   385.000000                       0.007502          0.001623
   386.000000                       0.007441          0.001610
   387.000000                       0.007437          0.001608
   388.000000                       0.007475          0.001617
   389.000000                       0.007548          0.001632
   390.000000                       0.007649          0.001654
   391.000000                       0.007775          0.001682
   392.000000                       0.007923          0.001714
   393.000000                       0.008092          0.001750
   394.000000                       0.008280          0.001791
   395.000000                       0.008486          0.001835
   396.000000                       0.008710          0.001884
   397.000000                       0.008953          0.001936
   398.000000                       0.009214          0.001993
   399.000000                       0.009495          0.002054
   400.000000                       0.009796          0.002119
   401.000000                       0.010117          0.002188
   402.000000                       0.010461          0.002263
   403.000000                       0.010828          0.002342
   404.000000                       0.011220          0.002427
   405.000000                       0.011639          0.002517
   406.000000                       0.012086          0.002614
   407.000000                       0.012565          0.002718
   408.000000                       0.013077          0.002828
   409.000000                       0.013626          0.002947
   410.000000                       0.014215          0.003074
   411.000000                       0.014847          0.003211
   412.000000                       0.015528          0.003358
   413.000000                       0.016261          0.003517
   414.000000                       0.017053          0.003688
   415.000000                       0.017909          0.003874
   416.000000                       0.018838          0.004075
   417.000000                       0.019848          0.004293
   418.000000                       0.020949          0.004531
   419.000000                       0.022154          0.004792
   420.000000                       0.023476          0.005078
   421.000000                       0.024934          0.005393
   422.000000                       0.026550          0.005743
   423.000000                       0.028352          0.006132
   424.000000                       0.030376          0.006570
   425.000000                       0.032671          0.007066
   426.000000                       0.035307          0.007636
   427.000000                       0.038385          0.008302
   428.000000                       0.042068          0.009099
   429.000000                       0.046634          0.010086
   430.000000                       0.052609          0.011379
   431.000000                       0.061131          0.013222
   432.000000                       0.075070          0.016237
   433.000000                       0.103211          0.022323
   434.000000                       0.175371          0.037931
   435.000000                       0.280976          0.060772
   436.000000                       0.187523          0.040559
   437.000000                       0.129693          0.028051
   438.000000                       0.116207          0.025134
   439.000000                       0.118044          0.025532
   440.000000                       0.127102          0.027491
   441.000000                       0.141270          0.030555
   442.000000                       0.160383          0.034689
   443.000000                       0.185238          0.040065
   444.000000                       0.217424          0.047027
   445.000000                       0.259504          0.056128
   446.000000                       0.315486          0.068237
   447.000000                       0.391721          0.084726
   448.000000                       0.498565          0.107835
   449.000000                       0.653511          0.141348
   450.000000                       0.887154          0.191883
   451.000000                       1.254047          0.271238
   452.000000                       1.847592          0.399616
   453.000000                       2.786139          0.602615
   454.000000                       3.990767          0.863165
   455.000000                       4.623414          1.000000
   456.000000                       3.905042          0.844623
   457.000000                       2.703164          0.584668
   458.000000                       1.792652          0.387733
   459.000000                       1.219928          0.263859
   460.000000                       0.865396          0.187177
   461.000000                       0.638887          0.138185
   462.000000                       0.488117          0.105575
   463.000000                       0.383750          0.083001
   464.000000                       0.308962          0.066826
   465.000000                       0.253746          0.054883
   466.000000                       0.211924          0.045837
   467.000000                       0.179543          0.038833
   468.000000                       0.153990          0.033307
   469.000000                       0.133489          0.028872
   470.000000                       0.116801          0.025263
   471.000000                       0.103043          0.022287
   472.000000                       0.091570          0.019806
   473.000000                       0.081906          0.017716
   474.000000                       0.073692          0.015939
   475.000000                       0.066652          0.014416
   476.000000                       0.060574          0.013102
   477.000000                       0.055291          0.011959
   478.000000                       0.050670          0.010959
   479.000000                       0.046605          0.010080
   480.000000                       0.043012          0.009303
   481.000000                       0.039819          0.008612
   482.000000                       0.036970          0.007996
   483.000000                       0.034417          0.007444
   484.000000                       0.032120          0.006947
   485.000000                       0.030047          0.006499
   486.000000                       0.028169          0.006093
   487.000000                       0.026463          0.005724
   488.000000                       0.024907          0.005387
   489.000000                       0.023486          0.005080
   490.000000                       0.022184          0.004798
   491.000000                       0.020988          0.004540
   492.000000                       0.019887          0.004301
   493.000000                       0.018871          0.004082
   494.000000                       0.017931          0.003878
   495.000000                       0.017061          0.003690
   496.000000                       0.016253          0.003515
   497.000000                       0.015501          0.003353
   498.000000                       0.014802          0.003201
   499.000000                       0.014149          0.003060
   500.000000                       0.013538          0.002928
   501.000000                       0.012967          0.002805
   502.000000                       0.012432          0.002689
   503.000000                       0.011929          0.002580
   504.000000                       0.011457          0.002478
   505.000000                       0.011013          0.002382
   506.000000                       0.010594          0.002291
   507.000000                       0.010200          0.002206
   508.000000                       0.009827          0.002125
   509.000000                       0.009475          0.002049
   510.000000                       0.009141          0.001977
   511.000000                       0.008826          0.001909
   512.000000                       0.008526          0.001844
   513.000000                       0.008242          0.001783
   514.000000                       0.007972          0.001724
   515.000000                       0.007716          0.001669
   516.000000                       0.007472          0.001616
   517.000000                       0.007239          0.001566
   518.000000                       0.007018          0.001518
   519.000000                       0.006807          0.001472
   520.000000                       0.006605          0.001429
   521.000000                       0.006413          0.001387
   522.000000                       0.006229          0.001347
   523.000000                       0.006053          0.001309
   524.000000                       0.005885          0.001273
   525.000000                       0.005723          0.001238
   526.000000                       0.005569          0.001205
   527.000000                       0.005421          0.001172
   528.000000                       0.005279          0.001142
   529.000000                       0.005142          0.001112
   530.000000                       0.005012          0.001084
   531.000000                       0.004886          0.001057
   532.000000                       0.004765          0.001031
   533.000000                       0.004649          0.001005
   534.000000                       0.004537          0.000981
   535.000000                       0.004429          0.000958
   536.000000                       0.004325          0.000935
   537.000000                       0.004225          0.000914
   538.000000                       0.004129          0.000893
   539.000000                       0.004036          0.000873
   540.000000                       0.003946          0.000854
   541.000000                       0.003860          0.000835
   542.000000                       0.003776          0.000817
   543.000000                       0.003695          0.000799
   544.000000                       0.003617          0.000782
   545.000000                       0.003542          0.000766
   546.000000                       0.003469          0.000750
   547.000000                       0.003399          0.000735
   548.000000                       0.003330          0.000720
   549.000000                       0.003264          0.000706
   550.000000                       0.003200          0.000692
   551.000000                       0.003138          0.000679
   552.000000                       0.003078          0.000666
   553.000000                       0.003020          0.000653
   554.000000                       0.002964          0.000641
   555.000000                       0.002909          0.000629
   556.000000                       0.002856          0.000618
   557.000000                       0.002805          0.000607
   558.000000                       0.002755          0.000596
   559.000000                       0.002707          0.000585
   560.000000                       0.002660          0.000575
   561.000000                       0.002614          0.000565
   562.000000                       0.002570          0.000556
   563.000000                       0.002527          0.000547
   564.000000                       0.002485          0.000537
   565.000000                       0.002444          0.000529
   566.000000                       0.002405          0.000520
   567.000000                       0.002367          0.000512
   568.000000                       0.002329          0.000504
   569.000000                       0.002293          0.000496
   570.000000                       0.002258          0.000488
   571.000000                       0.002223          0.000481
   572.000000                       0.002190          0.000474
   573.000000                       0.002158          0.000467
   574.000000                       0.002126          0.000460
   575.000000                       0.002095          0.000453
   576.000000                       0.002065          0.000447
   577.000000                       0.002036          0.000440
   578.000000                       0.002008          0.000434
   579.000000                       0.001980          0.000428
   580.000000                       0.001953          0.000423
   581.000000                       0.001927          0.000417
   582.000000                       0.001902          0.000411
   583.000000                       0.001877          0.000406
   584.000000                       0.001853          0.000401
   585.000000                       0.001830          0.000396
   586.000000                       0.001807          0.000391
   587.000000                       0.001785          0.000386
   588.000000                       0.001763          0.000381
   589.000000                       0.001742          0.000377
   590.000000                       0.001721          0.000372
   591.000000                       0.001702          0.000368
   592.000000                       0.001682          0.000364
   593.000000                       0.001663          0.000360
   594.000000                       0.001645          0.000356
   595.000000                       0.001627          0.000352
   596.000000                       0.001610          0.000348
   597.000000                       0.001593          0.000345
   598.000000                       0.001577          0.000341
   599.000000                       0.001561          0.000338
   600.000000                       0.001546          0.000334
   601.000000                       0.001531          0.000331
   602.000000                       0.001517          0.000328
   603.000000                       0.001503          0.000325
   604.000000                       0.001489          0.000322
   605.000000                       0.001476          0.000319
   606.000000                       0.001464          0.000317
   607.000000                       0.001452          0.000314
   608.000000                       0.001440          0.000311
   609.000000                       0.001429          0.000309
   610.000000                       0.001418          0.000307
   611.000000                       0.001408          0.000304
   612.000000                       0.001398          0.000302
   613.000000                       0.001388          0.000300
   614.000000                       0.001379          0.000298
   615.000000                       0.001371          0.000296
   616.000000                       0.001362          0.000295
   617.000000                       0.001355          0.000293
   618.000000                       0.001347          0.000291
   619.000000                       0.001341          0.000290
   620.000000                       0.001334          0.000289
   621.000000                       0.001329          0.000287
   622.000000                       0.001323          0.000286
   623.000000                       0.001318          0.000285
   624.000000                       0.001314          0.000284
   625.000000                       0.001310          0.000283
   626.000000                       0.001307          0.000283
   627.000000                       0.001304          0.000282
   628.000000                       0.001302          0.000282
   629.000000                       0.001301          0.000281
   630.000000                       0.001300          0.000281
   631.000000                       0.001299          0.000281
   632.000000                       0.001300          0.000281
   633.000000                       0.001301          0.000281
   634.000000                       0.001303          0.000282
   635.000000                       0.001305          0.000282
   636.000000                       0.001309          0.000283
   637.000000                       0.001313          0.000284
   638.000000                       0.001318          0.000285
   639.000000                       0.001324          0.000286
   640.000000                       0.001331          0.000288
   641.000000                       0.001339          0.000290
   642.000000                       0.001349          0.000292
   643.000000                       0.001359          0.000294
   644.000000                       0.001371          0.000297
   645.000000                       0.001384          0.000299
   646.000000                       0.001399          0.000303
   647.000000                       0.001416          0.000306
   648.000000                       0.001434          0.000310
   649.000000                       0.001454          0.000315
   650.000000                       0.001476          0.000319
   651.000000                       0.001501          0.000325
   652.000000                       0.001528          0.000330
   653.000000                       0.001558          0.000337
   654.000000                       0.001591          0.000344
   655.000000                       0.001627          0.000352
   656.000000                       0.001667          0.000361
