v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   685.000000                     0.001263          0.150340
   686.000000                     0.001238          0.147409
   687.000000                     0.001183          0.140852
   688.000000                     0.001106          0.131674
   689.000000                     0.001017          0.121035
   690.000000                     0.000924          0.109963
   691.000000                     0.000833          0.099213
   692.000000                     0.000750          0.089243
   693.000000                     0.000674          0.080279
   694.000000                     0.000608          0.072382
   695.000000                     0.000550          0.065521
   696.000000                     0.000501          0.059612
   697.000000                     0.000458          0.054554
   698.000000                     0.000422          0.050243
   699.000000                     0.000391          0.046580
   700.000000                     0.000365          0.043480
   701.000000                     0.000343          0.040866
   702.000000                     0.000325          0.038675
   703.000000                     0.000310          0.036854
   704.000000                     0.000297          0.035358
   705.000000                     0.000287          0.034151
   706.000000                     0.000279          0.033204
   707.000000                     0.000273          0.032495
   708.000000                     0.000269          0.032004
   709.000000                     0.000266          0.031719
   710.000000                     0.000266          0.031631
   711.000000                     0.000267          0.031734
   712.000000                     0.000269          0.032026
   713.000000                     0.000273          0.032510
   714.000000                     0.000279          0.033190
   715.000000                     0.000286          0.034075
   716.000000                     0.000295          0.035178
   717.000000                     0.000307          0.036517
   718.000000                     0.000320          0.038112
   719.000000                     0.000336          0.039991
   720.000000                     0.000354          0.042188
   721.000000                     0.000376          0.044744
   722.000000                     0.000401          0.047707
   723.000000                     0.000430          0.051139
   724.000000                     0.000463          0.055110
   725.000000                     0.000502          0.059707
   726.000000                     0.000546          0.065031
   727.000000                     0.000598          0.071202
   728.000000                     0.000658          0.078358
   729.000000                     0.000728          0.086656
   730.000000                     0.000809          0.096268
   731.000000                     0.000902          0.107364
   732.000000                     0.001009          0.120099
   733.000000                     0.001130          0.134564
   734.000000                     0.001266          0.150725
   735.000000                     0.001414          0.168322
   736.000000                     0.001569          0.186754
   737.000000                     0.001722          0.204964
   738.000000                     0.001860          0.221413
   739.000000                     0.001967          0.234236
   740.000000                     0.002030          0.241636
   741.000000                     0.002036          0.242434
   742.000000                     0.001987          0.236505
   743.000000                     0.001888          0.224826
   744.000000                     0.001756          0.209107
   745.000000                     0.001606          0.191242
   746.000000                     0.001452          0.172865
   747.000000                     0.001303          0.155142
   748.000000                     0.001166          0.138770
   749.000000                     0.001042          0.124073
   750.000000                     0.000933          0.111128
   751.000000                     0.000839          0.099868
   752.000000                     0.000757          0.090153
   753.000000                     0.000687          0.081816
   754.000000                     0.000627          0.074690
   755.000000                     0.000576          0.068620
   756.000000                     0.000533          0.063470
   757.000000                     0.000497          0.059126
   758.000000                     0.000466          0.055491
   759.000000                     0.000441          0.052487
   760.000000                     0.000420          0.050054
   761.000000                     0.000404          0.048147
   762.000000                     0.000393          0.046734
   763.000000                     0.000385          0.045795
   764.000000                     0.000381          0.045324
   765.000000                     0.000381          0.045323
   766.000000                     0.000385          0.045807
   767.000000                     0.000393          0.046795
   768.000000                     0.000406          0.048315
   769.000000                     0.000423          0.050388
   770.000000                     0.000445          0.053025
   771.000000                     0.000472          0.056206
   772.000000                     0.000503          0.059857
   773.000000                     0.000536          0.063814
   774.000000                     0.000569          0.067799
   775.000000                     0.000600          0.071406
   776.000000                     0.000623          0.074141
   777.000000                     0.000634          0.075526
   778.000000                     0.000632          0.075234
   779.000000                     0.000615          0.073214
   780.000000                     0.000585          0.069706
   781.000000                     0.000547          0.065151
   782.000000                     0.000504          0.060041
   783.000000                     0.000460          0.054810
   784.000000                     0.000418          0.049765
   785.000000                     0.000379          0.045093
   786.000000                     0.000343          0.040882
   787.000000                     0.000312          0.037153
   788.000000                     0.000285          0.033887
   789.000000                     0.000261          0.031046
   790.000000                     0.000240          0.028581
   791.000000                     0.000222          0.026444
   792.000000                     0.000207          0.024585
   793.000000                     0.000193          0.022958
   794.000000                     0.000181          0.021516
   795.000000                     0.000170          0.020221
   796.000000                     0.000160          0.019041
   797.000000                     0.000151          0.017952
