v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   500.000000                     0.000501          0.086832
   501.000000                     0.000458          0.079428
   502.000000                     0.000415          0.072012
   503.000000                     0.000375          0.064999
   504.000000                     0.000338          0.058625
   505.000000                     0.000305          0.052988
   506.000000                     0.000277          0.048101
   507.000000                     0.000253          0.043930
   508.000000                     0.000233          0.040418
   509.000000                     0.000216          0.037501
   510.000000                     0.000202          0.035115
   511.000000                     0.000191          0.033200
   512.000000                     0.000183          0.031697
   513.000000                     0.000176          0.030542
   514.000000                     0.000171          0.029661
   515.000000                     0.000167          0.028968
   516.000000                     0.000163          0.028356
   517.000000                     0.000160          0.027715
   518.000000                     0.000155          0.026942
   519.000000                     0.000150          0.025973
   520.000000                     0.000143          0.024795
   521.000000                     0.000135          0.023449
   522.000000                     0.000127          0.022005
   523.000000                     0.000118          0.020542
   524.000000                     0.000110          0.019123
   525.000000                     0.000103          0.017792
   526.000000                     0.000096          0.016571
   527.000000                     0.000089          0.015468
   528.000000                     0.000083          0.014481
   529.000000                     0.000078          0.013600
   530.000000                     0.000074          0.012818
   531.000000                     0.000070          0.012121
   532.000000                     0.000066          0.011500
   533.000000                     0.000063          0.010946
   534.000000                     0.000060          0.010449
   535.000000                     0.000058          0.010002
   536.000000                     0.000055          0.009599
   537.000000                     0.000053          0.009235
   538.000000                     0.000051          0.008905
   539.000000                     0.000050          0.008604
   540.000000                     0.000048          0.008330
   541.000000                     0.000047          0.008079
   542.000000                     0.000045          0.007850
   543.000000                     0.000044          0.007638
   544.000000                     0.000043          0.007444
   545.000000                     0.000042          0.007265
   546.000000                     0.000041          0.007100
   547.000000                     0.000040          0.006947
   548.000000                     0.000039          0.006805
   549.000000                     0.000038          0.006674
   550.000000                     0.000038          0.006552
   551.000000                     0.000037          0.006440
   552.000000                     0.000037          0.006335
   553.000000                     0.000036          0.006238
   554.000000                     0.000035          0.006148
   555.000000                     0.000035          0.006064
   556.000000                     0.000035          0.005986
   557.000000                     0.000034          0.005914
   558.000000                     0.000034          0.005848
   559.000000                     0.000033          0.005786
   560.000000                     0.000033          0.005730
   561.000000                     0.000033          0.005677
   562.000000                     0.000032          0.005630
   563.000000                     0.000032          0.005586
   564.000000                     0.000032          0.005546
   565.000000                     0.000032          0.005510
   566.000000                     0.000032          0.005477
   567.000000                     0.000031          0.005448
   568.000000                     0.000031          0.005422
   569.000000                     0.000031          0.005400
   570.000000                     0.000031          0.005381
   571.000000                     0.000031          0.005365
   572.000000                     0.000031          0.005352
   573.000000                     0.000031          0.005342
   574.000000                     0.000031          0.005335
   575.000000                     0.000031          0.005331
   576.000000                     0.000031          0.005331
   577.000000                     0.000031          0.005333
   578.000000                     0.000031          0.005338
   579.000000                     0.000031          0.005346
   580.000000                     0.000031          0.005358
   581.000000                     0.000031          0.005373
   582.000000                     0.000031          0.005391
   583.000000                     0.000031          0.005412
   584.000000                     0.000031          0.005438
   585.000000                     0.000032          0.005467
   586.000000                     0.000032          0.005500
   587.000000                     0.000032          0.005537
   588.000000                     0.000032          0.005579
   589.000000                     0.000032          0.005626
   590.000000                     0.000033          0.005679
   591.000000                     0.000033          0.005737
   592.000000                     0.000033          0.005802
   593.000000                     0.000034          0.005875
   594.000000                     0.000034          0.005955
   595.000000                     0.000035          0.006045
   596.000000                     0.000035          0.006146
   597.000000                     0.000036          0.006258
   598.000000                     0.000037          0.006384
