v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   264.000000                       0.008726          0.001887
   265.000000                       0.008142          0.001761
   266.000000                       0.007656          0.001656
   267.000000                       0.007241          0.001566
   268.000000                       0.006880          0.001488
   269.000000                       0.006561          0.001419
   270.000000                       0.006277          0.001358
   271.000000                       0.006022          0.001302
   272.000000                       0.005790          0.001252
   273.000000                       0.005578          0.001206
   274.000000                       0.005385          0.001165
   275.000000                       0.005206          0.001126
   276.000000                       0.005042          0.001090
   277.000000                       0.004890          0.001058
   278.000000                       0.004749          0.001027
   279.000000                       0.004618          0.000999
   280.000000                       0.004496          0.000972
   281.000000                       0.004383          0.000948
   282.000000                       0.004277          0.000925
   283.000000                       0.004178          0.000904
   284.000000                       0.004086          0.000884
   285.000000                       0.004000          0.000865
   286.000000                       0.003920          0.000848
   287.000000                       0.003845          0.000831
   288.000000                       0.003775          0.000816
   289.000000                       0.003709          0.000802
   290.000000                       0.003649          0.000789
   291.000000                       0.003592          0.000777
   292.000000                       0.003540          0.000766
   293.000000                       0.003491          0.000755
   294.000000                       0.003446          0.000745
   295.000000                       0.003405          0.000736
   296.000000                       0.003368          0.000728
   297.000000                       0.003333          0.000721
   298.000000                       0.003303          0.000714
   299.000000                       0.003275          0.000708
   300.000000                       0.003250          0.000703
   301.000000                       0.003229          0.000698
   302.000000                       0.003211          0.000695
   303.000000                       0.003197          0.000691
   304.000000                       0.003185          0.000689
   305.000000                       0.003177          0.000687
   306.000000                       0.003173          0.000686
   307.000000                       0.003172          0.000686
   308.000000                       0.003175          0.000687
   309.000000                       0.003182          0.000688
   310.000000                       0.003194          0.000691
   311.000000                       0.003210          0.000694
   312.000000                       0.003232          0.000699
   313.000000                       0.003260          0.000705
   314.000000                       0.003294          0.000712
   315.000000                       0.003336          0.000721
   316.000000                       0.003386          0.000732
   317.000000                       0.003447          0.000745
   318.000000                       0.003519          0.000761
   319.000000                       0.003606          0.000780
   320.000000                       0.003710          0.000802
   321.000000                       0.003836          0.000830
   322.000000                       0.003989          0.000863
   323.000000                       0.004177          0.000903
   324.000000                       0.004410          0.000954
   325.000000                       0.004703          0.001017
   326.000000                       0.005078          0.001098
   327.000000                       0.005569          0.001205
   328.000000                       0.006229          0.001347
   329.000000                       0.007145          0.001545
   330.000000                       0.008469          0.001832
   331.000000                       0.010483          0.002267
   332.000000                       0.013766          0.002977
   333.000000                       0.019645          0.004249
   334.000000                       0.031699          0.006856
   335.000000                       0.062079          0.013426
   336.000000                       0.165010          0.035687
   337.000000                       0.401378          0.086807
   338.000000                       0.171958          0.037190
   339.000000                       0.063997          0.013841
   340.000000                       0.032490          0.007027
   341.000000                       0.020133          0.004354
   342.000000                       0.014169          0.003064
   343.000000                       0.010875          0.002352
   344.000000                       0.008880          0.001921
   345.000000                       0.007591          0.001642
   346.000000                       0.006719          0.001453
   347.000000                       0.006108          0.001321
   348.000000                       0.005670          0.001226
   349.000000                       0.005352          0.001157
   350.000000                       0.005119          0.001107
   351.000000                       0.004951          0.001071
   352.000000                       0.004831          0.001045
   353.000000                       0.004751          0.001028
   354.000000                       0.004703          0.001017
   355.000000                       0.004683          0.001013
   356.000000                       0.004688          0.001014
   357.000000                       0.004717          0.001020
   358.000000                       0.004769          0.001031
   359.000000                       0.004846          0.001048
   360.000000                       0.004949          0.001070
   361.000000                       0.005084          0.001100
   362.000000                       0.005258          0.001137
   363.000000                       0.005480          0.001185
   364.000000                       0.005769          0.001248
   365.000000                       0.006151          0.001330
   366.000000                       0.006669          0.001442
   367.000000                       0.007401          0.001601
   368.000000                       0.008487          0.001835
   369.000000                       0.010211          0.002208
   370.000000                       0.013214          0.002858
   371.000000                       0.019182          0.004149
   372.000000                       0.033676          0.007283
   373.000000                       0.081683          0.017666
   374.000000                       0.242117          0.052364
   375.000000                       0.127466          0.027567
   376.000000                       0.045306          0.009798
   377.000000                       0.023590          0.005102
   378.000000                       0.015640          0.003383
   379.000000                       0.011989          0.002593
   380.000000                       0.010063          0.002176
   381.000000                       0.008958          0.001937
   382.000000                       0.008293          0.001794
   383.000000                       0.007886          0.001705
   384.000000                       0.007640          0.001652
   385.000000                       0.007503          0.001623
   386.000000                       0.007442          0.001610
   387.000000                       0.007437          0.001609
   388.000000                       0.007476          0.001617
   389.000000                       0.007548          0.001632
   390.000000                       0.007650          0.001654
   391.000000                       0.007776          0.001682
   392.000000                       0.007924          0.001714
   393.000000                       0.008093          0.001750
   394.000000                       0.008280          0.001791
   395.000000                       0.008486          0.001835
   396.000000                       0.008711          0.001884
   397.000000                       0.008954          0.001936
   398.000000                       0.009215          0.001993
   399.000000                       0.009496          0.002054
   400.000000                       0.009797          0.002119
   401.000000                       0.010118          0.002188
   402.000000                       0.010462          0.002263
   403.000000                       0.010829          0.002342
   404.000000                       0.011221          0.002427
   405.000000                       0.011639          0.002517
   406.000000                       0.012087          0.002614
   407.000000                       0.012566          0.002718
   408.000000                       0.013078          0.002828
   409.000000                       0.013627          0.002947
   410.000000                       0.014216          0.003074
   411.000000                       0.014848          0.003211
   412.000000                       0.015529          0.003358
   413.000000                       0.016262          0.003517
   414.000000                       0.017054          0.003688
   415.000000                       0.017910          0.003874
   416.000000                       0.018839          0.004074
   417.000000                       0.019849          0.004293
   418.000000                       0.020951          0.004531
   419.000000                       0.022155          0.004792
   420.000000                       0.023478          0.005078
   421.000000                       0.024936          0.005393
   422.000000                       0.026552          0.005742
   423.000000                       0.028354          0.006132
   424.000000                       0.030378          0.006570
   425.000000                       0.032673          0.007066
   426.000000                       0.035309          0.007636
   427.000000                       0.038387          0.008302
   428.000000                       0.042071          0.009099
   429.000000                       0.046636          0.010086
   430.000000                       0.052612          0.011379
   431.000000                       0.061134          0.013222
   432.000000                       0.075072          0.016236
   433.000000                       0.103211          0.022322
   434.000000                       0.175366          0.037927
   435.000000                       0.280963          0.060765
   436.000000                       0.187519          0.040555
   437.000000                       0.129695          0.028050
   438.000000                       0.116212          0.025134
   439.000000                       0.118051          0.025531
   440.000000                       0.127111          0.027491
   441.000000                       0.141280          0.030555
   442.000000                       0.160395          0.034689
   443.000000                       0.185252          0.040065
   444.000000                       0.217440          0.047027
   445.000000                       0.259524          0.056128
   446.000000                       0.315510          0.068237
   447.000000                       0.391751          0.084725
   448.000000                       0.498603          0.107835
   449.000000                       0.653562          0.141348
   450.000000                       0.887223          0.191883
   451.000000                       1.254145          0.271238
   452.000000                       1.847736          0.399616
   453.000000                       2.786356          0.602615
   454.000000                       3.991078          0.863165
   455.000000                       4.623774          1.000000
   456.000000                       3.905346          0.844623
   457.000000                       2.703374          0.584668
   458.000000                       1.792791          0.387733
   459.000000                       1.220023          0.263859
   460.000000                       0.865464          0.187177
   461.000000                       0.638936          0.138185
   462.000000                       0.488154          0.105575
   463.000000                       0.383780          0.083001
   464.000000                       0.308986          0.066825
   465.000000                       0.253766          0.054883
   466.000000                       0.211941          0.045837
   467.000000                       0.179557          0.038833
   468.000000                       0.154002          0.033307
   469.000000                       0.133499          0.028872
   470.000000                       0.116810          0.025263
   471.000000                       0.103051          0.022287
   472.000000                       0.091577          0.019806
   473.000000                       0.081913          0.017716
   474.000000                       0.073698          0.015939
   475.000000                       0.066657          0.014416
   476.000000                       0.060579          0.013102
   477.000000                       0.055295          0.011959
   478.000000                       0.050674          0.010959
   479.000000                       0.046609          0.010080
   480.000000                       0.043015          0.009303
   481.000000                       0.039822          0.008612
   482.000000                       0.036973          0.007996
   483.000000                       0.034419          0.007444
   484.000000                       0.032123          0.006947
   485.000000                       0.030049          0.006499
   486.000000                       0.028171          0.006093
   487.000000                       0.026465          0.005724
   488.000000                       0.024909          0.005387
   489.000000                       0.023488          0.005080
   490.000000                       0.022186          0.004798
   491.000000                       0.020990          0.004540
   492.000000                       0.019888          0.004301
   493.000000                       0.018872          0.004082
   494.000000                       0.017933          0.003878
   495.000000                       0.017062          0.003690
   496.000000                       0.016254          0.003515
   497.000000                       0.015503          0.003353
   498.000000                       0.014803          0.003201
   499.000000                       0.014150          0.003060
   500.000000                       0.013539          0.002928
   501.000000                       0.012968          0.002805
   502.000000                       0.012433          0.002689
   503.000000                       0.011930          0.002580
   504.000000                       0.011458          0.002478
   505.000000                       0.011014          0.002382
   506.000000                       0.010595          0.002291
   507.000000                       0.010201          0.002206
   508.000000                       0.009828          0.002125
   509.000000                       0.009475          0.002049
   510.000000                       0.009142          0.001977
   511.000000                       0.008826          0.001909
   512.000000                       0.008527          0.001844
   513.000000                       0.008243          0.001783
   514.000000                       0.007973          0.001724
   515.000000                       0.007716          0.001669
   516.000000                       0.007472          0.001616
   517.000000                       0.007240          0.001566
   518.000000                       0.007019          0.001518
   519.000000                       0.006807          0.001472
   520.000000                       0.006606          0.001429
   521.000000                       0.006413          0.001387
   522.000000                       0.006229          0.001347
   523.000000                       0.006053          0.001309
   524.000000                       0.005885          0.001273
   525.000000                       0.005724          0.001238
   526.000000                       0.005569          0.001204
   527.000000                       0.005421          0.001172
   528.000000                       0.005279          0.001142
   529.000000                       0.005143          0.001112
   530.000000                       0.005012          0.001084
   531.000000                       0.004886          0.001057
   532.000000                       0.004765          0.001031
   533.000000                       0.004649          0.001005
   534.000000                       0.004537          0.000981
   535.000000                       0.004429          0.000958
   536.000000                       0.004325          0.000935
   537.000000                       0.004225          0.000914
   538.000000                       0.004129          0.000893
   539.000000                       0.004036          0.000873
   540.000000                       0.003946          0.000854
   541.000000                       0.003860          0.000835
   542.000000                       0.003776          0.000817
   543.000000                       0.003696          0.000799
   544.000000                       0.003618          0.000782
   545.000000                       0.003542          0.000766
   546.000000                       0.003469          0.000750
   547.000000                       0.003399          0.000735
   548.000000                       0.003331          0.000720
   549.000000                       0.003265          0.000706
   550.000000                       0.003201          0.000692
   551.000000                       0.003139          0.000679
   552.000000                       0.003079          0.000666
   553.000000                       0.003021          0.000653
   554.000000                       0.002964          0.000641
   555.000000                       0.002910          0.000629
   556.000000                       0.002857          0.000618
   557.000000                       0.002805          0.000607
   558.000000                       0.002755          0.000596
   559.000000                       0.002707          0.000585
   560.000000                       0.002660          0.000575
   561.000000                       0.002614          0.000565
   562.000000                       0.002570          0.000556
   563.000000                       0.002527          0.000547
   564.000000                       0.002485          0.000537
   565.000000                       0.002445          0.000529
   566.000000                       0.002405          0.000520
   567.000000                       0.002367          0.000512
   568.000000                       0.002329          0.000504
   569.000000                       0.002293          0.000496
   570.000000                       0.002258          0.000488
   571.000000                       0.002223          0.000481
   572.000000                       0.002190          0.000474
   573.000000                       0.002158          0.000467
   574.000000                       0.002126          0.000460
   575.000000                       0.002095          0.000453
   576.000000                       0.002065          0.000447
   577.000000                       0.002036          0.000440
   578.000000                       0.002008          0.000434
   579.000000                       0.001980          0.000428
   580.000000                       0.001954          0.000422
   581.000000                       0.001927          0.000417
   582.000000                       0.001902          0.000411
   583.000000                       0.001877          0.000406
   584.000000                       0.001853          0.000401
   585.000000                       0.001830          0.000396
   586.000000                       0.001807          0.000391
   587.000000                       0.001785          0.000386
   588.000000                       0.001763          0.000381
   589.000000                       0.001742          0.000377
   590.000000                       0.001722          0.000372
   591.000000                       0.001702          0.000368
   592.000000                       0.001682          0.000364
   593.000000                       0.001663          0.000360
   594.000000                       0.001645          0.000356
   595.000000                       0.001627          0.000352
   596.000000                       0.001610          0.000348
   597.000000                       0.001593          0.000345
   598.000000                       0.001577          0.000341
   599.000000                       0.001561          0.000338
   600.000000                       0.001546          0.000334
   601.000000                       0.001531          0.000331
   602.000000                       0.001517          0.000328
   603.000000                       0.001503          0.000325
   604.000000                       0.001489          0.000322
   605.000000                       0.001476          0.000319
   606.000000                       0.001464          0.000317
   607.000000                       0.001452          0.000314
   608.000000                       0.001440          0.000311
   609.000000                       0.001429          0.000309
   610.000000                       0.001418          0.000307
   611.000000                       0.001408          0.000304
   612.000000                       0.001398          0.000302
   613.000000                       0.001388          0.000300
   614.000000                       0.001379          0.000298
   615.000000                       0.001371          0.000296
   616.000000                       0.001362          0.000295
   617.000000                       0.001355          0.000293
   618.000000                       0.001347          0.000291
   619.000000                       0.001341          0.000290
   620.000000                       0.001334          0.000289
   621.000000                       0.001329          0.000287
   622.000000                       0.001323          0.000286
   623.000000                       0.001318          0.000285
   624.000000                       0.001314          0.000284
   625.000000                       0.001310          0.000283
   626.000000                       0.001307          0.000283
   627.000000                       0.001304          0.000282
   628.000000                       0.001302          0.000282
   629.000000                       0.001301          0.000281
   630.000000                       0.001300          0.000281
   631.000000                       0.001299          0.000281
   632.000000                       0.001300          0.000281
   633.000000                       0.001301          0.000281
   634.000000                       0.001303          0.000282
   635.000000                       0.001305          0.000282
   636.000000                       0.001309          0.000283
   637.000000                       0.001313          0.000284
   638.000000                       0.001318          0.000285
   639.000000                       0.001324          0.000286
   640.000000                       0.001331          0.000288
   641.000000                       0.001339          0.000290
   642.000000                       0.001349          0.000292
   643.000000                       0.001359          0.000294
   644.000000                       0.001371          0.000297
   645.000000                       0.001384          0.000299
   646.000000                       0.001399          0.000303
   647.000000                       0.001416          0.000306
   648.000000                       0.001434          0.000310
   649.000000                       0.001454          0.000314
   650.000000                       0.001476          0.000319
   651.000000                       0.001501          0.000325
   652.000000                       0.001528          0.000330
   653.000000                       0.001558          0.000337
   654.000000                       0.001590          0.000344
   655.000000                       0.001627          0.000352
   656.000000                       0.001667          0.000360
