v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   264.000000                       0.008731          0.001889
   265.000000                       0.008147          0.001763
   266.000000                       0.007660          0.001657
   267.000000                       0.007245          0.001567
   268.000000                       0.006883          0.001489
   269.000000                       0.006564          0.001420
   270.000000                       0.006280          0.001359
   271.000000                       0.006024          0.001303
   272.000000                       0.005792          0.001253
   273.000000                       0.005580          0.001207
   274.000000                       0.005387          0.001165
   275.000000                       0.005208          0.001127
   276.000000                       0.005044          0.001091
   277.000000                       0.004892          0.001058
   278.000000                       0.004751          0.001028
   279.000000                       0.004620          0.000999
   280.000000                       0.004498          0.000973
   281.000000                       0.004384          0.000948
   282.000000                       0.004278          0.000926
   283.000000                       0.004179          0.000904
   284.000000                       0.004087          0.000884
   285.000000                       0.004001          0.000866
   286.000000                       0.003921          0.000848
   287.000000                       0.003846          0.000832
   288.000000                       0.003776          0.000817
   289.000000                       0.003710          0.000803
   290.000000                       0.003650          0.000790
   291.000000                       0.003593          0.000777
   292.000000                       0.003541          0.000766
   293.000000                       0.003492          0.000755
   294.000000                       0.003447          0.000746
   295.000000                       0.003406          0.000737
   296.000000                       0.003368          0.000729
   297.000000                       0.003334          0.000721
   298.000000                       0.003303          0.000715
   299.000000                       0.003276          0.000709
   300.000000                       0.003251          0.000703
   301.000000                       0.003230          0.000699
   302.000000                       0.003212          0.000695
   303.000000                       0.003197          0.000692
   304.000000                       0.003186          0.000689
   305.000000                       0.003178          0.000688
   306.000000                       0.003174          0.000687
   307.000000                       0.003173          0.000686
   308.000000                       0.003176          0.000687
   309.000000                       0.003183          0.000689
   310.000000                       0.003195          0.000691
   311.000000                       0.003211          0.000695
   312.000000                       0.003233          0.000699
   313.000000                       0.003261          0.000705
   314.000000                       0.003295          0.000713
   315.000000                       0.003337          0.000722
   316.000000                       0.003387          0.000733
   317.000000                       0.003448          0.000746
   318.000000                       0.003520          0.000762
   319.000000                       0.003607          0.000780
   320.000000                       0.003712          0.000803
   321.000000                       0.003838          0.000830
   322.000000                       0.003991          0.000863
   323.000000                       0.004179          0.000904
   324.000000                       0.004412          0.000954
   325.000000                       0.004705          0.001018
   326.000000                       0.005081          0.001099
   327.000000                       0.005573          0.001206
   328.000000                       0.006234          0.001349
   329.000000                       0.007151          0.001547
   330.000000                       0.008476          0.001834
   331.000000                       0.010493          0.002270
   332.000000                       0.013780          0.002981
   333.000000                       0.019666          0.004255
   334.000000                       0.031735          0.006866
   335.000000                       0.062153          0.013446
   336.000000                       0.165214          0.035743
   337.000000                       0.401880          0.086944
   338.000000                       0.172171          0.037248
   339.000000                       0.064073          0.013862
   340.000000                       0.032526          0.007037
   341.000000                       0.020154          0.004360
   342.000000                       0.014183          0.003068
   343.000000                       0.010884          0.002355
   344.000000                       0.008887          0.001923
   345.000000                       0.007597          0.001643
   346.000000                       0.006723          0.001455
   347.000000                       0.006111          0.001322
   348.000000                       0.005673          0.001227
   349.000000                       0.005354          0.001158
   350.000000                       0.005121          0.001108
   351.000000                       0.004952          0.001071
   352.000000                       0.004833          0.001046
   353.000000                       0.004752          0.001028
   354.000000                       0.004704          0.001018
   355.000000                       0.004684          0.001013
   356.000000                       0.004689          0.001014
   357.000000                       0.004717          0.001021
   358.000000                       0.004769          0.001032
   359.000000                       0.004846          0.001048
   360.000000                       0.004949          0.001071
   361.000000                       0.005084          0.001100
   362.000000                       0.005258          0.001137
   363.000000                       0.005481          0.001186
   364.000000                       0.005769          0.001248
   365.000000                       0.006151          0.001331
   366.000000                       0.006670          0.001443
   367.000000                       0.007401          0.001601
   368.000000                       0.008487          0.001836
   369.000000                       0.010212          0.002209
   370.000000                       0.013216          0.002859
   371.000000                       0.019185          0.004151
   372.000000                       0.033683          0.007287
   373.000000                       0.081701          0.017675
   374.000000                       0.242175          0.052393
   375.000000                       0.127495          0.027583
   376.000000                       0.045315          0.009804
   377.000000                       0.023594          0.005104
   378.000000                       0.015642          0.003384
   379.000000                       0.011989          0.002594
   380.000000                       0.010063          0.002177
   381.000000                       0.008958          0.001938
   382.000000                       0.008293          0.001794
   383.000000                       0.007885          0.001706
   384.000000                       0.007640          0.001653
   385.000000                       0.007502          0.001623
   386.000000                       0.007441          0.001610
   387.000000                       0.007436          0.001609
   388.000000                       0.007474          0.001617
   389.000000                       0.007547          0.001633
   390.000000                       0.007648          0.001655
   391.000000                       0.007774          0.001682
   392.000000                       0.007922          0.001714
   393.000000                       0.008091          0.001750
   394.000000                       0.008278          0.001791
   395.000000                       0.008485          0.001836
   396.000000                       0.008709          0.001884
   397.000000                       0.008952          0.001937
   398.000000                       0.009213          0.001993
   399.000000                       0.009494          0.002054
   400.000000                       0.009794          0.002119
   401.000000                       0.010116          0.002188
   402.000000                       0.010459          0.002263
   403.000000                       0.010826          0.002342
   404.000000                       0.011218          0.002427
   405.000000                       0.011637          0.002518
   406.000000                       0.012084          0.002614
   407.000000                       0.012563          0.002718
   408.000000                       0.013075          0.002829
   409.000000                       0.013624          0.002947
   410.000000                       0.014212          0.003075
   411.000000                       0.014845          0.003212
   412.000000                       0.015525          0.003359
   413.000000                       0.016258          0.003517
