v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   685.000000                     0.001262          0.126973
   686.000000                     0.001184          0.119115
   687.000000                     0.001091          0.109767
   688.000000                     0.000993          0.099875
   689.000000                     0.000896          0.090157
   690.000000                     0.000806          0.081067
   691.000000                     0.000724          0.072839
   692.000000                     0.000652          0.065554
   693.000000                     0.000588          0.059194
   694.000000                     0.000534          0.053692
   695.000000                     0.000487          0.048960
   696.000000                     0.000446          0.044906
   697.000000                     0.000412          0.041440
   698.000000                     0.000383          0.038485
   699.000000                     0.000358          0.035970
   700.000000                     0.000336          0.033837
   701.000000                     0.000318          0.032038
   702.000000                     0.000303          0.030530
   703.000000                     0.000291          0.029280
   704.000000                     0.000281          0.028260
   705.000000                     0.000273          0.027449
   706.000000                     0.000267          0.026830
   707.000000                     0.000262          0.026388
   708.000000                     0.000260          0.026115
   709.000000                     0.000258          0.026005
   710.000000                     0.000259          0.026055
   711.000000                     0.000261          0.026264
   712.000000                     0.000265          0.026636
   713.000000                     0.000270          0.027177
   714.000000                     0.000277          0.027897
   715.000000                     0.000286          0.028810
   716.000000                     0.000297          0.029931
   717.000000                     0.000311          0.031284
   718.000000                     0.000327          0.032896
   719.000000                     0.000346          0.034800
   720.000000                     0.000368          0.037036
   721.000000                     0.000394          0.039655
   722.000000                     0.000425          0.042714
   723.000000                     0.000460          0.046285
   724.000000                     0.000501          0.050449
   725.000000                     0.000550          0.055303
   726.000000                     0.000606          0.060951
   727.000000                     0.000671          0.067509
   728.000000                     0.000746          0.075090
   729.000000                     0.000833          0.083786
   730.000000                     0.000931          0.093640
   731.000000                     0.001040          0.104593
   732.000000                     0.001157          0.116417
   733.000000                     0.001278          0.128631
   734.000000                     0.001396          0.140439
   735.000000                     0.001498          0.150737
   736.000000                     0.001573          0.158261
   737.000000                     0.001609          0.161893
   738.000000                     0.001600          0.161022
   739.000000                     0.001548          0.155781
   740.000000                     0.001461          0.146991
   741.000000                     0.001350          0.135860
   742.000000                     0.001229          0.123624
   743.000000                     0.001106          0.111289
   744.000000                     0.000989          0.099538
   745.000000                     0.000882          0.088756
   746.000000                     0.000786          0.079103
   747.000000                     0.000702          0.070594
   748.000000                     0.000628          0.063164
   749.000000                     0.000564          0.056710
   750.000000                     0.000508          0.051116
   751.000000                     0.000460          0.046267
   752.000000                     0.000418          0.042060
   753.000000                     0.000382          0.038403
   754.000000                     0.000350          0.035214
   755.000000                     0.000322          0.032427
   756.000000                     0.000298          0.029982
   757.000000                     0.000277          0.027832
   758.000000                     0.000258          0.025936
   759.000000                     0.000241          0.024259
   760.000000                     0.000226          0.022771
   761.000000                     0.000213          0.021449
   762.000000                     0.000201          0.020272
   763.000000                     0.000191          0.019222
   764.000000                     0.000182          0.018284
   765.000000                     0.000173          0.017445
   766.000000                     0.000166          0.016695
   767.000000                     0.000159          0.016025
   768.000000                     0.000153          0.015426
   769.000000                     0.000148          0.014892
   770.000000                     0.000143          0.014418
   771.000000                     0.000139          0.013997
   772.000000                     0.000135          0.013626
   773.000000                     0.000132          0.013302
   774.000000                     0.000129          0.013021
   775.000000                     0.000127          0.012781
   776.000000                     0.000125          0.012581
   777.000000                     0.000123          0.012417
   778.000000                     0.000122          0.012290
   779.000000                     0.000121          0.012199
   780.000000                     0.000121          0.012142
   781.000000                     0.000120          0.012121
   782.000000                     0.000121          0.012134
   783.000000                     0.000121          0.012184
   784.000000                     0.000122          0.012270
   785.000000                     0.000123          0.012394
   786.000000                     0.000125          0.012559
   787.000000                     0.000127          0.012765
   788.000000                     0.000129          0.013017
   789.000000                     0.000132          0.013318
   790.000000                     0.000136          0.013671
   791.000000                     0.000140          0.014081
   792.000000                     0.000145          0.014555
   793.000000                     0.000150          0.015099
   794.000000                     0.000156          0.015721
   795.000000                     0.000163          0.016431
   796.000000                     0.000171          0.017240
   797.000000                     0.000181          0.018161
   798.000000                     0.000191          0.019211
   799.000000                     0.000203          0.020407
   800.000000                     0.000216          0.021773
   801.000000                     0.000232          0.023334
   802.000000                     0.000250          0.025122
   803.000000                     0.000270          0.027175
   804.000000                     0.000294          0.029536
   805.000000                     0.000321          0.032259
   806.000000                     0.000352          0.035405
