v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   655.000000                     0.000167          0.025833
   656.000000                     0.000174          0.026956
   657.000000                     0.000182          0.028201
   658.000000                     0.000191          0.029587
   659.000000                     0.000201          0.031131
   660.000000                     0.000212          0.032857
   661.000000                     0.000224          0.034791
   662.000000                     0.000238          0.036964
   663.000000                     0.000254          0.039413
   664.000000                     0.000272          0.042181
   665.000000                     0.000292          0.045322
   666.000000                     0.000315          0.048896
   667.000000                     0.000342          0.052977
   668.000000                     0.000372          0.057651
   669.000000                     0.000406          0.063020
   670.000000                     0.000446          0.069200
   671.000000                     0.000492          0.076324
   672.000000                     0.000545          0.084540
   673.000000                     0.000606          0.093995
   674.000000                     0.000676          0.104830
   675.000000                     0.000755          0.117137
   676.000000                     0.000844          0.130913
   677.000000                     0.000941          0.145984
   678.000000                     0.001044          0.161897
   679.000000                     0.001147          0.177827
   680.000000                     0.001241          0.192529
   681.000000                     0.001318          0.204433
   682.000000                     0.001367          0.211949
   683.000000                     0.001379          0.213925
   684.000000                     0.001354          0.210060
   685.000000                     0.001296          0.201024
   686.000000                     0.001213          0.188201
   687.000000                     0.001117          0.173222
   688.000000                     0.001016          0.157557
   689.000000                     0.000917          0.142290
   690.000000                     0.000826          0.128093
   691.000000                     0.000743          0.115298
   692.000000                     0.000671          0.104005
   693.000000                     0.000607          0.094173
   694.000000                     0.000552          0.085689
   695.000000                     0.000506          0.078410
   696.000000                     0.000465          0.072189
   697.000000                     0.000431          0.066888
   698.000000                     0.000402          0.062384
   699.000000                     0.000378          0.058568
   700.000000                     0.000357          0.055352
   701.000000                     0.000340          0.052657
   702.000000                     0.000325          0.050422
   703.000000                     0.000313          0.048595
   704.000000                     0.000304          0.047133
   705.000000                     0.000297          0.046005
   706.000000                     0.000291          0.045184
   707.000000                     0.000288          0.044651
   708.000000                     0.000286          0.044393
   709.000000                     0.000286          0.044402
   710.000000                     0.000288          0.044676
   711.000000                     0.000292          0.045217
   712.000000                     0.000297          0.046032
   713.000000                     0.000304          0.047134
   714.000000                     0.000313          0.048542
   715.000000                     0.000324          0.050280
   716.000000                     0.000338          0.052379
