v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   685.000000                     0.001942          0.156646
   686.000000                     0.002001          0.161430
   687.000000                     0.002052          0.165514
   688.000000                     0.002104          0.169731
   689.000000                     0.002168          0.174941
   690.000000                     0.002255          0.181900
   691.000000                     0.002370          0.191197
   692.000000                     0.002519          0.203236
   693.000000                     0.002705          0.218216
   694.000000                     0.002926          0.236084
   695.000000                     0.003178          0.256431
   696.000000                     0.003450          0.278347
   697.000000                     0.003722          0.300290
   698.000000                     0.003967          0.320062
   699.000000                     0.004153          0.335043
   700.000000                     0.004248          0.342751
   701.000000                     0.004234          0.341596
   702.000000                     0.004108          0.331454
   703.000000                     0.003888          0.313701
   704.000000                     0.003603          0.290685
   705.000000                     0.003284          0.264968
   706.000000                     0.002959          0.238735
   707.000000                     0.002647          0.213531
   708.000000                     0.002358          0.190258
   709.000000                     0.002099          0.169327
   710.000000                     0.001869          0.150816
   711.000000                     0.001668          0.134612
   712.000000                     0.001494          0.120508
   713.000000                     0.001342          0.108262
   714.000000                     0.001210          0.097633
   715.000000                     0.001096          0.088398
   716.000000                     0.000996          0.080357
   717.000000                     0.000909          0.073338
   718.000000                     0.000833          0.067193
   719.000000                     0.000766          0.061796
   720.000000                     0.000707          0.057041
   721.000000                     0.000655          0.052840
   722.000000                     0.000609          0.049118
   723.000000                     0.000568          0.045811
   724.000000                     0.000531          0.042866
   725.000000                     0.000499          0.040239
   726.000000                     0.000470          0.037893
   727.000000                     0.000444          0.035795
   728.000000                     0.000420          0.033919
   729.000000                     0.000400          0.032242
   730.000000                     0.000381          0.030747
   731.000000                     0.000365          0.029418
   732.000000                     0.000350          0.028242
   733.000000                     0.000337          0.027210
   734.000000                     0.000326          0.026315
   735.000000                     0.000317          0.025552
   736.000000                     0.000309          0.024919
   737.000000                     0.000303          0.024415
   738.000000                     0.000298          0.024043
   739.000000                     0.000295          0.023808
   740.000000                     0.000294          0.023716
   741.000000                     0.000295          0.023777
   742.000000                     0.000297          0.024002
   743.000000                     0.000302          0.024402
   744.000000                     0.000310          0.024986
   745.000000                     0.000319          0.025760
   746.000000                     0.000331          0.026715
   747.000000                     0.000345          0.027823
   748.000000                     0.000360          0.029023
   749.000000                     0.000374          0.030214
   750.000000                     0.000387          0.031251
   751.000000                     0.000396          0.031967
   752.000000                     0.000399          0.032202
   753.000000                     0.000395          0.031860
   754.000000                     0.000384          0.030941
   755.000000                     0.000366          0.029541
   756.000000                     0.000345          0.027815
   757.000000                     0.000321          0.025930
   758.000000                     0.000298          0.024027
   759.000000                     0.000275          0.022202
   760.000000                     0.000254          0.020512
   761.000000                     0.000235          0.018982
   762.000000                     0.000218          0.017617
   763.000000                     0.000203          0.016408
   764.000000                     0.000190          0.015342
   765.000000                     0.000179          0.014402
   766.000000                     0.000168          0.013574
   767.000000                     0.000159          0.012841
   768.000000                     0.000151          0.012193
   769.000000                     0.000144          0.011617
   770.000000                     0.000138          0.011104
   771.000000                     0.000132          0.010646
   772.000000                     0.000127          0.010237
   773.000000                     0.000122          0.009870
   774.000000                     0.000118          0.009542
   775.000000                     0.000115          0.009248
   776.000000                     0.000111          0.008986
   777.000000                     0.000109          0.008754
   778.000000                     0.000106          0.008549
   779.000000                     0.000104          0.008372
   780.000000                     0.000102          0.008220
   781.000000                     0.000100          0.008094
   782.000000                     0.000099          0.007995
   783.000000                     0.000098          0.007922
   784.000000                     0.000098          0.007875
   785.000000                     0.000097          0.007855
   786.000000                     0.000097          0.007859
   787.000000                     0.000098          0.007884
   788.000000                     0.000098          0.007922
   789.000000                     0.000099          0.007962
   790.000000                     0.000099          0.007987
   791.000000                     0.000099          0.007979
   792.000000                     0.000098          0.007922
   793.000000                     0.000097          0.007807
   794.000000                     0.000095          0.007636
   795.000000                     0.000092          0.007419
   796.000000                     0.000089          0.007174
   797.000000                     0.000086          0.006917
   798.000000                     0.000083          0.006663
   799.000000                     0.000080          0.006421
   800.000000                     0.000077          0.006195
   801.000000                     0.000074          0.005988
   802.000000                     0.000072          0.005801
   803.000000                     0.000070          0.005631
   804.000000                     0.000068          0.005478
   805.000000                     0.000066          0.005340
   806.000000                     0.000065          0.005214
   807.000000                     0.000063          0.005100
   808.000000                     0.000062          0.004995
   809.000000                     0.000061          0.004900
   810.000000                     0.000060          0.004812
   811.000000                     0.000059          0.004731
   812.000000                     0.000058          0.004656
   813.000000                     0.000057          0.004587
   814.000000                     0.000056          0.004522
   815.000000                     0.000055          0.004462
   816.000000                     0.000055          0.004406
   817.000000                     0.000054          0.004354
   818.000000                     0.000053          0.004305
   819.000000                     0.000053          0.004259
   820.000000                     0.000052          0.004217
   821.000000                     0.000052          0.004178
   822.000000                     0.000051          0.004142
   823.000000                     0.000051          0.004108
   824.000000                     0.000051          0.004078
   825.000000                     0.000050          0.004050
   826.000000                     0.000050          0.004025
   827.000000                     0.000050          0.004004
   828.000000                     0.000049          0.003985
   829.000000                     0.000049          0.003969
   830.000000                     0.000049          0.003956
   831.000000                     0.000049          0.003946
   832.000000                     0.000049          0.003937
   833.000000                     0.000049          0.003929
   834.000000                     0.000049          0.003919
   835.000000                     0.000048          0.003907
   836.000000                     0.000048          0.003891
   837.000000                     0.000048          0.003870
   838.000000                     0.000048          0.003844
   839.000000                     0.000047          0.003815
   840.000000                     0.000047          0.003784
   841.000000                     0.000047          0.003753
   842.000000                     0.000046          0.003723
   843.000000                     0.000046          0.003695
   844.000000                     0.000045          0.003668
   845.000000                     0.000045          0.003644
   846.000000                     0.000045          0.003623
   847.000000                     0.000045          0.003603
   848.000000                     0.000044          0.003586
   849.000000                     0.000044          0.003570
   850.000000                     0.000044          0.003556
   851.000000                     0.000044          0.003544
   852.000000                     0.000044          0.003533
   853.000000                     0.000044          0.003524
   854.000000                     0.000044          0.003515
   855.000000                     0.000043          0.003508
   856.000000                     0.000043          0.003502
   857.000000                     0.000043          0.003497
   858.000000                     0.000043          0.003493
   859.000000                     0.000043          0.003489
   860.000000                     0.000043          0.003487
   861.000000                     0.000043          0.003485
   862.000000                     0.000043          0.003485
   863.000000                     0.000043          0.003485
   864.000000                     0.000043          0.003486
   865.000000                     0.000043          0.003488
   866.000000                     0.000043          0.003490
   867.000000                     0.000043          0.003494
   868.000000                     0.000043          0.003498
   869.000000                     0.000043          0.003503
   870.000000                     0.000043          0.003508
   871.000000                     0.000044          0.003515
   872.000000                     0.000044          0.003522
   873.000000                     0.000044          0.003530
   874.000000                     0.000044          0.003539
   875.000000                     0.000044          0.003548
   876.000000                     0.000044          0.003559
   877.000000                     0.000044          0.003570
   878.000000                     0.000044          0.003582
   879.000000                     0.000045          0.003595
   880.000000                     0.000045          0.003609
   881.000000                     0.000045          0.003624
   882.000000                     0.000045          0.003639
   883.000000                     0.000045          0.003656
   884.000000                     0.000046          0.003673
   885.000000                     0.000046          0.003692
   886.000000                     0.000046          0.003712
   887.000000                     0.000046          0.003732
   888.000000                     0.000047          0.003754
   889.000000                     0.000047          0.003777
   890.000000                     0.000047          0.003802
   891.000000                     0.000047          0.003828
   892.000000                     0.000048          0.003855
   893.000000                     0.000048          0.003884
   894.000000                     0.000049          0.003914
   895.000000                     0.000049          0.003946
   896.000000                     0.000049          0.003980
   897.000000                     0.000050          0.004016
   898.000000                     0.000050          0.004054
   899.000000                     0.000051          0.004094
   900.000000                     0.000051          0.004137
   901.000000                     0.000052          0.004183
   902.000000                     0.000052          0.004231
   903.000000                     0.000053          0.004283
   904.000000                     0.000054          0.004339
   905.000000                     0.000055          0.004399
   906.000000                     0.000055          0.004464
   907.000000                     0.000056          0.004534
   908.000000                     0.000057          0.004610
   909.000000                     0.000058          0.004693
   910.000000                     0.000059          0.004783
   911.000000                     0.000061          0.004882
   912.000000                     0.000062          0.004992
   913.000000                     0.000063          0.005113
   914.000000                     0.000065          0.005249
   915.000000                     0.000067          0.005400
   916.000000                     0.000069          0.005569
   917.000000                     0.000071          0.005761
   918.000000                     0.000074          0.005976
   919.000000                     0.000077          0.006220
   920.000000                     0.000081          0.006495
   921.000000                     0.000084          0.006804
   922.000000                     0.000089          0.007147
   923.000000                     0.000093          0.007520
   924.000000                     0.000098          0.007915
   925.000000                     0.000103          0.008315
   926.000000                     0.000108          0.008694
   927.000000                     0.000112          0.009017
   928.000000                     0.000115          0.009250
   929.000000                     0.000116          0.009363
   930.000000                     0.000116          0.009347
   931.000000                     0.000114          0.009214
   932.000000                     0.000111          0.008994
   933.000000                     0.000108          0.008721
   934.000000                     0.000104          0.008430
   935.000000                     0.000101          0.008147
   936.000000                     0.000098          0.007887
   937.000000                     0.000095          0.007659
   938.000000                     0.000093          0.007466
   939.000000                     0.000091          0.007308
   940.000000                     0.000089          0.007182
   941.000000                     0.000088          0.007085
   942.000000                     0.000087          0.007014
   943.000000                     0.000086          0.006965
   944.000000                     0.000086          0.006937
   945.000000                     0.000086          0.006927
   946.000000                     0.000086          0.006932
   947.000000                     0.000086          0.006951
   948.000000                     0.000087          0.006983
   949.000000                     0.000087          0.007026
   950.000000                     0.000088          0.007080
   951.000000                     0.000089          0.007144
   952.000000                     0.000089          0.007217
   953.000000                     0.000090          0.007299
   954.000000                     0.000092          0.007390
   955.000000                     0.000093          0.007490
   956.000000                     0.000094          0.007598
   957.000000                     0.000096          0.007715
   958.000000                     0.000097          0.007840
   959.000000                     0.000099          0.007974
   960.000000                     0.000101          0.008118
   961.000000                     0.000103          0.008271
   962.000000                     0.000105          0.008433
   963.000000                     0.000107          0.008606
   964.000000                     0.000109          0.008788
   965.000000                     0.000111          0.008980
   966.000000                     0.000114          0.009181
   967.000000                     0.000116          0.009391
   968.000000                     0.000119          0.009609
   969.000000                     0.000122          0.009836
   970.000000                     0.000125          0.010074
   971.000000                     0.000128          0.010323
   972.000000                     0.000131          0.010587
   973.000000                     0.000135          0.010869
   974.000000                     0.000138          0.011172
   975.000000                     0.000143          0.011498
