v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   685.000000                     0.001342          0.893160
   686.000000                     0.001271          0.845708
   687.000000                     0.001178          0.783767
   688.000000                     0.001074          0.714547
   689.000000                     0.000968          0.644078
   690.000000                     0.000866          0.576554
   691.000000                     0.000773          0.514401
   692.000000                     0.000689          0.458690
   693.000000                     0.000615          0.409604
   694.000000                     0.000551          0.366816
   695.000000                     0.000495          0.329749
   696.000000                     0.000447          0.297742
   697.000000                     0.000406          0.270136
   698.000000                     0.000370          0.246325
   699.000000                     0.000339          0.225769
   700.000000                     0.000313          0.208003
   701.000000                     0.000289          0.192628
   702.000000                     0.000269          0.179308
   703.000000                     0.000252          0.167760
   704.000000                     0.000237          0.157747
   705.000000                     0.000224          0.149072
   706.000000                     0.000213          0.141568
   707.000000                     0.000203          0.135097
   708.000000                     0.000195          0.129545
   709.000000                     0.000188          0.124816
   710.000000                     0.000182          0.120831
   711.000000                     0.000177          0.117525
   712.000000                     0.000173          0.114847
   713.000000                     0.000169          0.112753
   714.000000                     0.000167          0.111211
   715.000000                     0.000166          0.110198
   716.000000                     0.000165          0.109698
   717.000000                     0.000165          0.109703
   718.000000                     0.000166          0.110210
   719.000000                     0.000167          0.111226
   720.000000                     0.000169          0.112765
   721.000000                     0.000173          0.114846
   722.000000                     0.000177          0.117500
   723.000000                     0.000181          0.120763
   724.000000                     0.000187          0.124685
   725.000000                     0.000194          0.129324
   726.000000                     0.000202          0.134752
   727.000000                     0.000212          0.141058
   728.000000                     0.000223          0.148347
   729.000000                     0.000236          0.156745
   730.000000                     0.000250          0.166404
   731.000000                     0.000267          0.177505
   732.000000                     0.000286          0.190264
   733.000000                     0.000308          0.204940
   734.000000                     0.000333          0.221842
   735.000000                     0.000363          0.241335
   736.000000                     0.000396          0.263854
   737.000000                     0.000436          0.289905
   738.000000                     0.000481          0.320074
   739.000000                     0.000533          0.355021
   740.000000                     0.000594          0.395460
   741.000000                     0.000664          0.442107
   742.000000                     0.000745          0.495586
   743.000000                     0.000836          0.556247
   744.000000                     0.000937          0.623887
   745.000000                     0.001048          0.697336
   746.000000                     0.001163          0.773965
   747.000000                     0.001276          0.849250
   748.000000                     0.001377          0.916720
   749.000000                     0.001455          0.968687
   750.000000                     0.001499          0.997948
   751.000000                     0.001502          1.000000
   752.000000                     0.001464          0.974655
   753.000000                     0.001391          0.926043
   754.000000                     0.001294          0.861026
   755.000000                     0.001183          0.787064
   756.000000                     0.001068          0.710577
   757.000000                     0.000956          0.636226
   758.000000                     0.000852          0.566900
   759.000000                     0.000757          0.504055
   760.000000                     0.000673          0.448147
   761.000000                     0.000599          0.399005
   762.000000                     0.000535          0.356119
   763.000000                     0.000479          0.318829
   764.000000                     0.000430          0.286442
   765.000000                     0.000388          0.258295
   766.000000                     0.000351          0.233791
   767.000000                     0.000319          0.212402
   768.000000                     0.000291          0.193675
   769.000000                     0.000266          0.177222
   770.000000                     0.000244          0.162715
   771.000000                     0.000225          0.149879
   772.000000                     0.000208          0.138480
   773.000000                     0.000193          0.128320
   774.000000                     0.000179          0.119234
   775.000000                     0.000167          0.111081
   776.000000                     0.000156          0.103740
   777.000000                     0.000146          0.097112
   778.000000                     0.000137          0.091108
   779.000000                     0.000129          0.085654
   780.000000                     0.000121          0.080686
   781.000000                     0.000114          0.076149
   782.000000                     0.000108          0.071995
   783.000000                     0.000102          0.068183
   784.000000                     0.000097          0.064677
   785.000000                     0.000092          0.061444
   786.000000                     0.000088          0.058459
   787.000000                     0.000084          0.055695
   788.000000                     0.000080          0.053132
   789.000000                     0.000076          0.050750
   790.000000                     0.000073          0.048534
   791.000000                     0.000070          0.046468
   792.000000                     0.000067          0.044539
   793.000000                     0.000064          0.042735
   794.000000                     0.000062          0.041046
   795.000000                     0.000059          0.039461
   796.000000                     0.000057          0.037974
   797.000000                     0.000055          0.036575
   798.000000                     0.000053          0.035257
   799.000000                     0.000051          0.034016
   800.000000                     0.000049          0.032844
   801.000000                     0.000048          0.031738
   802.000000                     0.000046          0.030691
   803.000000                     0.000045          0.029700
   804.000000                     0.000043          0.028761
   805.000000                     0.000042          0.027871
   806.000000                     0.000041          0.027026
   807.000000                     0.000039          0.026222
   808.000000                     0.000038          0.025459
