v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   644.000000                     0.000083          0.014422
   645.000000                     0.000086          0.014984
   646.000000                     0.000090          0.015589
   647.000000                     0.000093          0.016243
   648.000000                     0.000097          0.016950
   649.000000                     0.000102          0.017716
   650.000000                     0.000107          0.018548
   651.000000                     0.000112          0.019453
   652.000000                     0.000118          0.020440
   653.000000                     0.000124          0.021518
   654.000000                     0.000130          0.022699
   655.000000                     0.000138          0.023996
   656.000000                     0.000146          0.025424
   657.000000                     0.000155          0.027000
   658.000000                     0.000165          0.028747
   659.000000                     0.000176          0.030688
   660.000000                     0.000189          0.032851
   661.000000                     0.000203          0.035271
   662.000000                     0.000218          0.037987
   663.000000                     0.000236          0.041046
   664.000000                     0.000256          0.044506
   665.000000                     0.000278          0.048431
   666.000000                     0.000304          0.052902
   667.000000                     0.000333          0.058012
   668.000000                     0.000367          0.063870
   669.000000                     0.000406          0.070602
   670.000000                     0.000450          0.078353
   671.000000                     0.000502          0.087281
   672.000000                     0.000561          0.097550
   673.000000                     0.000628          0.109310
   674.000000                     0.000705          0.122668
   675.000000                     0.000791          0.137626
   676.000000                     0.000885          0.154005
   677.000000                     0.000985          0.171330
   678.000000                     0.001085          0.188723
   679.000000                     0.001178          0.204849
   680.000000                     0.001253          0.218011
   681.000000                     0.001302          0.226468
   682.000000                     0.001316          0.228932
   683.000000                     0.001294          0.225025
   684.000000                     0.001238          0.215431
   685.000000                     0.001159          0.201628
   686.000000                     0.001066          0.185392
   687.000000                     0.000968          0.168337
   688.000000                     0.000872          0.151664
   689.000000                     0.000783          0.136125
   690.000000                     0.000702          0.122095
   691.000000                     0.000631          0.109692
   692.000000                     0.000568          0.098876
   693.000000                     0.000515          0.089525
   694.000000                     0.000468          0.081485
   695.000000                     0.000429          0.074593
   696.000000                     0.000395          0.068698
   697.000000                     0.000366          0.063663
   698.000000                     0.000341          0.059370
   699.000000                     0.000320          0.055717
   700.000000                     0.000302          0.052619
   701.000000                     0.000287          0.050004
   702.000000                     0.000275          0.047813
   703.000000                     0.000264          0.045999
   704.000000                     0.000256          0.044520
   705.000000                     0.000249          0.043345
   706.000000                     0.000244          0.042448
   707.000000                     0.000240          0.041811
   708.000000                     0.000238          0.041417
   709.000000                     0.000237          0.041257
   710.000000                     0.000238          0.041325
   711.000000                     0.000239          0.041618
   712.000000                     0.000242          0.042140
   713.000000                     0.000247          0.042895
   714.000000                     0.000252          0.043894
   715.000000                     0.000260          0.045151
   716.000000                     0.000268          0.046684
   717.000000                     0.000279          0.048519
   718.000000                     0.000291          0.050685
   719.000000                     0.000306          0.053219
   720.000000                     0.000323          0.056168
   721.000000                     0.000343          0.059586
   722.000000                     0.000365          0.063540
   723.000000                     0.000392          0.068110
   724.000000                     0.000422          0.073390
