v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
   -12.774461                  0.000035
   -10.157835                  0.000029
     0.000009                  0.000000
     0.000034                  0.000000
     0.000049                  0.000000
     3.060898                  0.000005
    24.663872                  0.000227
   200.351325                  0.002123
   336.320970                  0.000399
   397.974694                  0.000008
   458.194752                  0.009243
   514.018887                  0.000444
   615.299565                  0.000091
   691.820249                  0.033151
   718.400897                  0.038641
   783.765149                  0.000716
   827.182073                  0.000013
   881.630483                  0.000524
   952.044670                  0.000001
   968.395704                  0.001322
   970.043342                  0.000007
   992.746695                  0.000064
  1020.515321                  0.005491
  1028.336805                  0.004021
  1083.669932                  0.006376
  1148.863707                  0.000045
  1170.721190                  0.000424
  1205.483011                  0.001363
  1305.900231                  0.000178
  1342.747085                  0.000216
  1356.397668                  0.002254
  1419.874469                  0.000882
  1432.356017                  0.006611
  1453.191659                  0.012455
  1483.476470                  0.013673
  1581.967018                  0.000126
  1603.586931                  0.009654
  2960.083249                  0.027534
  3019.934921                  0.013159
  3049.644361                  0.013553
  3084.309346                  0.009615
  3085.495486                  0.007789
  3100.688147                  0.004363
  3109.766092                  0.031293
  3122.561290                  0.013790
