v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   685.000000                     0.000847          0.527854
   686.000000                     0.000946          0.589717
   687.000000                     0.001051          0.655173
   688.000000                     0.001157          0.721032
   689.000000                     0.001256          0.782460
   690.000000                     0.001337          0.833346
   691.000000                     0.001392          0.867475
   692.000000                     0.001413          0.880332
   693.000000                     0.001397          0.870742
   694.000000                     0.001350          0.841357
   695.000000                     0.001280          0.797675
   696.000000                     0.001197          0.746217
   697.000000                     0.001112          0.692895
   698.000000                     0.001030          0.642148
   699.000000                     0.000958          0.596813
   700.000000                     0.000896          0.558424
   701.000000                     0.000847          0.527631
   702.000000                     0.000810          0.504576
   703.000000                     0.000785          0.489163
   704.000000                     0.000772          0.481246
   705.000000                     0.000771          0.480728
   706.000000                     0.000782          0.487619
   707.000000                     0.000806          0.502055
   708.000000                     0.000841          0.524280
   709.000000                     0.000890          0.554598
   710.000000                     0.000952          0.593258
   711.000000                     0.001027          0.640278
   712.000000                     0.001115          0.695146
   713.000000                     0.001214          0.756413
   714.000000                     0.001318          0.821205
   715.000000                     0.001420          0.884821
   716.000000                     0.001510          0.940738
   717.000000                     0.001575          0.981408
   718.000000                     0.001605          1.000000
   719.000000                     0.001593          0.992561
   720.000000                     0.001540          0.959482
   721.000000                     0.001453          0.905317
   722.000000                     0.001343          0.837083
   723.000000                     0.001223          0.762093
   724.000000                     0.001101          0.686392
   725.000000                     0.000985          0.614130
   726.000000                     0.000879          0.547669
   727.000000                     0.000783          0.488013
   728.000000                     0.000698          0.435287
   729.000000                     0.000624          0.389113
   730.000000                     0.000560          0.348872
   731.000000                     0.000504          0.313869
   732.000000                     0.000455          0.283416
   733.000000                     0.000412          0.256880
   734.000000                     0.000375          0.233701
   735.000000                     0.000342          0.213392
   736.000000                     0.000314          0.195538
   737.000000                     0.000288          0.179786
   738.000000                     0.000266          0.165838
   739.000000                     0.000246          0.153443
   740.000000                     0.000228          0.142387
   741.000000                     0.000213          0.132493
   742.000000                     0.000198          0.123609
   743.000000                     0.000185          0.115606
   744.000000                     0.000174          0.108374
   745.000000                     0.000163          0.101820
   746.000000                     0.000154          0.095865
   747.000000                     0.000145          0.090439
   748.000000                     0.000137          0.085484
   749.000000                     0.000130          0.080949
   750.000000                     0.000123          0.076788
   751.000000                     0.000117          0.072964
   752.000000                     0.000111          0.069443
   753.000000                     0.000106          0.066197
   754.000000                     0.000101          0.063199
   755.000000                     0.000097          0.060427
   756.000000                     0.000093          0.057861
   757.000000                     0.000089          0.055485
   758.000000                     0.000085          0.053284
   759.000000                     0.000082          0.051245
   760.000000                     0.000079          0.049356
   761.000000                     0.000076          0.047608
   762.000000                     0.000074          0.045993
   763.000000                     0.000071          0.044505
